WindNumber,Time,WindSpeed,Power,RotorSpeed
1,2017/11/1 0:20,4.188333333,65.75,5.779166667
1,2017/11/1 0:30,4.0425,120.7,8.6365
1,2017/11/1 0:40,4.137368421,135.1578947,8.668421053
1,2017/11/1 0:50,4.274736842,157.3157895,8.727894737
1,2017/11/1 1:00,4.108947368,129.8947368,8.656842105
1,2017/11/1 1:10,4.223684211,119.3684211,8.630526316
1,2017/11/1 1:20,4.383,130.4,8.6595
1,2017/11/1 1:30,4.353684211,129.0526316,8.656315789
1,2017/11/1 1:40,4.7835,200.3,9.0265
1,2017/11/1 1:50,5.012,231.15,9.2845
1,2017/11/1 2:00,5.182105263,262.8947368,9.514210526
1,2017/11/1 2:10,4.5175,186.4,8.9145
1,2017/11/1 2:20,3.415,93.45,8.1425
1,2017/11/1 3:20,4.290625,83.3125,6.916875
1,2017/11/1 3:30,3.721111111,83.83333333,8.565
1,2017/11/1 3:40,3.297333333,31.73333333,5.166666667
1,2017/11/1 4:50,4.775,171.75,8.9115
1,2017/11/1 5:00,4.143157895,138.1578947,8.739473684
1,2017/11/1 5:10,5.0355,262.35,9.5115
1,2017/11/1 5:20,4.942,245.85,9.3655
1,2017/11/1 5:30,4.591666667,212.9444444,9.159444444
1,2017/11/1 5:40,4.3535,169.5,8.824
1,2017/11/1 5:50,4.076,129.5,8.6735
1,2017/11/1 6:00,3.459230769,51.76923077,7.296153846
1,2017/11/1 6:30,4.381,137.45,8.7245
1,2017/11/1 6:40,5.046,276.05,9.5975
1,2017/11/1 6:50,6.5965,493.75,11.1275
1,2017/11/1 7:00,6.9215,571.85,11.583
1,2017/11/1 7:10,6.021,414.55,10.6215
1,2017/11/1 7:20,5.4395,262.05,9.5085
1,2017/11/1 7:30,5.200526316,248.6315789,9.429473684
1,2017/11/1 7:40,4.537368421,180.4736842,8.941578947
1,2017/11/1 7:50,4.9925,237.7,9.3555
1,2017/11/1 8:00,5.0195,246.9,9.4335
1,2017/11/1 8:10,6.603,514.9,11.2425
1,2017/11/1 8:20,7.0685,610.5,11.814
1,2017/11/1 8:30,5.45,264.9,9.553
1,2017/11/1 8:40,3.894,81,8.5715
1,2017/11/1 8:50,4.6895,197.75,9.17
1,2017/11/1 9:00,3.742142857,5.214285714,2.990714286
1,2017/11/1 9:20,4.896470588,135.8235294,7.939411765
1,2017/11/1 9:30,4.898,249.55,9.4435
1,2017/11/1 9:50,5.033636364,141.7272727,5.652727273
1,2017/11/1 10:00,6.666315789,559.8421053,11.22421053
1,2017/11/1 10:10,7.432,765.1,12.1985
1,2017/11/1 10:20,8.728,1118.9,13.857
1,2017/11/1 10:30,8.193684211,977.2631579,13.05157895
1,2017/11/1 10:40,6.781,557.05,11.304
1,2017/11/1 10:50,6.3905,474.4,10.913
1,2017/11/1 11:00,6.528,230.5333333,7.738666667
1,2017/11/1 11:10,6.9525,607.05,11.626
1,2017/11/1 11:20,8.1295,963.15,13.2695
1,2017/11/1 11:30,6.407,494.75,10.883
1,2017/11/1 11:40,7.0945,600.75,11.568
1,2017/11/1 11:50,8.118,955.55,13.3165
1,2017/11/1 12:00,6.897,608.5,11.713
1,2017/11/1 12:10,5.977,399.7,10.485
1,2017/11/1 12:20,6.5595,516.15,11.169
1,2017/11/1 12:30,6.6155,515.75,11.1365
1,2017/11/1 12:40,7.012105263,585.5263158,11.66789474
1,2017/11/1 12:50,5.617,316.95,9.9185
1,2017/11/1 13:00,5.78,331.8,10.0335
1,2017/11/1 13:10,5.422,299,9.79
1,2017/11/1 13:20,4.040714286,26.42857143,4.987142857
1,2017/11/1 13:30,4.836,180.65,9.2285
1,2017/11/1 13:40,4.873846154,53,5.283846154
1,2017/11/1 13:50,4.6105,154.8,8.7805
1,2017/11/1 14:00,4.903157895,167.6315789,8.869473684
1,2017/11/1 14:10,5.221,245.6,9.3955
1,2017/11/1 14:20,5.0225,212.25,9.1555
1,2017/11/1 14:30,5.2245,247.45,9.5135
1,2017/11/1 14:40,5.3535,247.8,9.4485
1,2017/11/1 14:50,4.654,156.55,8.868
1,2017/11/1 15:00,5.1705,220.15,9.243
1,2017/11/1 15:10,4.777894737,188.9473684,9.109473684
1,2017/11/1 15:20,4.282105263,125.1052632,8.806842105
1,2017/11/1 15:50,4.325,95.25,5.2325
1,2017/11/1 16:00,4.7305,183.25,8.983
1,2017/11/1 16:10,4.732105263,196.3157895,9.105789474
1,2017/11/1 16:20,6.075,366.3,10.2865
1,2017/11/1 16:30,7.267894737,635.9473684,11.92105263
1,2017/11/1 16:40,6.6245,504.75,11.155
1,2017/11/1 16:50,5.93,356.9,10.1495
1,2017/11/1 17:00,4.555,165.85,8.948
1,2017/11/1 17:10,5.6845,280.75,9.6855
1,2017/11/1 17:20,4.592105263,155.5789474,8.827894737
1,2017/11/1 17:30,4.5555,190.25,8.941
1,2017/11/1 17:40,5.526111111,318.6111111,9.966111111
1,2017/11/1 17:50,5.740555556,343.6111111,10.14666667
1,2017/11/1 18:00,7.062105263,647.2631579,12.03736842
1,2017/11/1 18:10,6.405263158,440.8947368,10.80368421
1,2017/11/1 18:20,6.078421053,340.9473684,10.14105263
1,2017/11/1 18:30,5.632105263,275.6842105,9.622105263
1,2017/11/1 18:40,5.4415,288.2,9.7285
1,2017/11/1 18:50,5.4955,341.95,10.1445
1,2017/11/1 19:00,6.627894737,518.8947368,11.27052632
1,2017/11/1 19:10,8.334,903,13.0995
1,2017/11/1 19:20,7.273,567.3,11.5845
1,2017/11/1 19:30,7.5095,824.45,12.742
1,2017/11/1 19:40,7.972105263,967.4736842,13.51315789
1,2017/11/1 19:50,7.1775,728.35,12.4645
1,2017/11/1 20:00,7.251,699.55,12.315
1,2017/11/1 20:10,8.3635,1112.1,14.122
1,2017/11/1 20:20,8.698947368,1276.736842,14.50684211
1,2017/11/1 20:30,8.854736842,1273.894737,14.47947368
1,2017/11/1 20:40,8.566666667,1061.444444,13.72277778
1,2017/11/1 20:50,6.966,649.4,12.049
1,2017/11/1 21:00,6.3985,537.25,11.409
1,2017/11/1 21:10,6.688,592.35,11.74
1,2017/11/1 21:20,7.102105263,652.3684211,12.04421053
1,2017/11/1 21:30,6.359,448.65,10.8915
1,2017/11/1 21:40,5.8175,342.55,10.1585
1,2017/11/1 21:50,6.2605,504.05,11.2005
1,2017/11/1 22:00,6.789,592.5,11.699
1,2017/11/1 22:10,6.61,559.85,11.5145
1,2017/11/1 22:20,7.8475,879.35,13.083
1,2017/11/1 22:30,8.243,996.75,13.5015
1,2017/11/1 22:40,7.6105,800.7,12.765
1,2017/11/1 22:50,7.3965,704.05,12.295
1,2017/11/1 23:00,7.433,751.55,12.5525
1,2017/11/1 23:10,7.9645,851.55,13.016
1,2017/11/1 23:20,8.441,992,13.5005
1,2017/11/1 23:30,8.48,1082.85,13.867
1,2017/11/1 23:40,8.8705,1079.8,13.8455
1,2017/11/1 23:50,8.901578947,1106.263158,13.95473684
1,2017/11/2 0:00,8.5715,1052.05,13.78
1,2017/11/2 0:10,8.8095,1002.65,13.589
1,2017/11/2 0:20,8.245789474,912.0526316,13.27315789
1,2017/11/2 0:30,7.1815,689.45,12.2445
1,2017/11/2 0:40,7.954210526,889.5263158,13.19473684
1,2017/11/2 0:50,7.6235,747.25,12.558
1,2017/11/2 1:00,7.8675,854.75,13.018
1,2017/11/2 1:10,7.999,893.85,13.152
1,2017/11/2 1:20,7.1005,640.65,12.009
1,2017/11/2 1:30,6.771,596.9,11.7385
1,2017/11/2 1:40,6.494,500.7,11.187
1,2017/11/2 1:50,7.1785,676.4,12.155
1,2017/11/2 2:00,8.375789474,1018.947368,13.62789474
1,2017/11/2 2:10,8.9375,1173.05,13.9765
1,2017/11/2 2:20,7.893,876.45,13.085
1,2017/11/2 2:30,8.5655,1095.7,13.7655
1,2017/11/2 2:40,9.073,1263.95,14.3885
1,2017/11/2 2:50,9.8295,1370.65,14.549
1,2017/11/2 3:00,8.956,1202.4,14.246
